x,y,RSSI
-0.03372251223772764,-0.04342120755463839,-48
-0.04413703102618456,-0.04580148980021477,-48
-0.04232110735028982,-0.038555946480482814,-48
-0.03398948716931045,-0.030853550392203034,-56
-0.025447849626652898,-0.021684725838713347,-42
-0.016234486852772533,-0.018260784377343953,-42
-0.011948613193817436,-0.020922216516919435,-42
-0.017464120243676006,-0.033290576399303974,-62
-0.0300801940029487,-0.05070500900037587,-62
-0.04695685585029423,-0.06374617801047862,-52
-0.06023071240633726,-0.06573066171258687,-54
-0.06240915283560753,-0.05232591014355421,-53
-0.0525198670104146,-0.037949822191148994,
-0.036786081921309235,-0.016137144342064858,-54
-0.013421750254929065,0.004380720760673284,-54
0.0074840291403234,0.026796987187117337,-54
0.028203173261135816,0.030643314681947233,-36
0.037456045486032964,0.03854250202421099,-38
0.04540372195187956,0.04583933858666569,-54
0.05088221377227455,0.04919363253284246,-54
0.053363701631315055,0.043892759014852345,-54
0.04709304564166814,0.04412220700178295,-42
0.044461630866862833,0.04260325143113732,-42
0.03775433273985982,0.03565425742417574,-85
0.026514046546071767,0.026248698029667138,-54
0.017593379039317368,0.02322819931432605,-38
0.015251728426665067,0.01771270266035572,-36
0.0089846495189704,0.009008772077504546,-62
0.0010179165401495993,-0.0038789688027463854,-78
-0.009750246570911258,-0.01821727560600266,-50
-0.026319393829908222,-0.04630715524544939,-38
-0.05402716746320948,-0.06459333142265677,-34
-0.07065056320279836,-0.07057819552719594,-34
-0.07139275316148996,-0.06332750516012312,-34
-0.06001990744844079,-0.04952658088877797,-56
-0.04789746524766088,-0.04107077242806554,-54
-0.04292203979566693,-0.04400755660608411,-80
-0.04521705145016312,-0.05433539068326354,-54
-0.05882779946550727,-0.06730313189327716,-52
-0.07258541509509087,-0.07574547417461872,-52
-0.07199357252102345,-0.062272168486379086,-46
-0.05294333470519632,-0.041533349838573486,-46
-0.03295741529436782,-0.024345650349278002,-48
-0.01616343712667003,-0.013244603632483632,-60
-0.006101733597461134,-0.005064462649170309,-58
-0.003458612959366292,-0.0067151623661629856,-54
-0.00727278821868822,-0.011325383232906461,-56
-0.010937469685450197,-0.012312457012012602,-42
-0.00981526393443346,-0.005497007156373001,-60
-0.002805857724160887,0.0030715985310962425,-54
0.003847425346611999,0.012607376193045639,-54
0.011176945464103482,0.02095834855863359,-42
0.019746118885814214,0.02941082577162888,-40
0.02715607854479458,0.03368719853460789,-54
0.03082633698359132,0.03492953209206462,-54
0.0315851965919137,0.03583406675606966,-38
0.030936962645500898,0.033340608980506656,-36
0.026551649533212186,0.026333135925233363,-38
0.019389490596950054,0.019219536148011685,-58
0.01325840437784791,0.01046628886833787,-58
0.006467550992965698,-0.006203553825616837,-58
-0.005191527865827083,-0.022900649718940257,-38
-0.01912406403571367,-0.0312719875946641,-79
-0.030531480349600314,-0.03834031457081437,-56
-0.03969791056588292,-0.043364078120794146,-56
-0.04590648555895314,-0.04122325660428032,-50
-0.04413591710617766,-0.03967323874821886,-80
-0.04278336813440546,-0.04753551868489012,-54
-0.0473380503593944,-0.06096731260186061,-54
-0.05714135974412784,-0.0705298662185669,-48
-0.06297669478226453,-0.06582660705316812,-48
-0.06074179282877594,-0.05397791091818362,-50
-0.050398793932981786,-0.03646078903693706,-54
-0.03337534342426807,-0.016598864388652147,-42
-0.015167217724956572,-0.0030576785327866675,-38
-0.001549685187637806,-0.00012645237147808076,-58
0.002435032743960619,-0.0005174798890948296,-54
0.0033593587577342987,-0.0013396939262747764,-54
0.0041262125596404076,-3.415308892726898e-05,-34
0.006075822096318006,0.002481556311249733,-34
0.0072819855064153675,0.0027710611000657083,-34
0.009535302221775056,0.00461429376155138,-62
0.009511701390147209,0.006544622965157032,-62
0.0077083630487322806,0.006068027019500733,-62
0.0025040718726813795,0.0038066918961703776,-48
-0.0066732530482113365,-0.003271967824548483,-34
-0.01894137030467391,-0.012741864623967558,-46
-0.025366747158113868,-0.02090406814822927,
-0.028866627311799675,-0.025996039120946078,-34
-0.030961048195604236,-0.030526841955725102,-66
-0.03709267020458355,-0.031424327159766105,-54
-0.04418573078000918,-0.04510238915681839,-54
-0.05806125961244106,-0.06177613837644458,-54
-0.06861348515376449,-0.06136166425421834,-54
-0.06395343849435449,-0.05370320929214358,-36
-0.05145700452849269,-0.05279236389324069,-36
-0.042820203583687544,-0.04470176566392183,-60
-0.038111254759132865,-0.040234042890369894,-54
-0.042899868078529836,-0.05473498124629259,-54
-0.06196726504713297,-0.07267582323402166,-62
-0.07645240928977728,-0.0804717993363738,-62
-0.07523888293653727,-0.07047529611736536,-64
-0.057300755940377715,-0.046657206304371354,-48
-0.036043273843824865,-0.027655814960598945,-54
-0.018127960339188575,-0.013489216472953558,-30
-0.002727181930094957,0.004108602087944746,-30
0.009576062113046646,0.015524480678141116,-79
0.015548725239932537,0.019433406926691533,-75
0.021383408503606916,0.029444122174754738,-58
0.032159314630553125,0.04391047530807555,-34
0.04511996991932392,0.05250086337327957,-34
0.04888467052951455,0.05490592578426003,-78
0.04812486777082085,0.05905053252354264,-56
0.05831002560444176,0.06741474685259163,-56
0.06662487289868295,0.05846704221330583,-59
0.054492988251149656,0.04803470615297556,-54
0.048553061112761496,0.043357300385832784,-54
0.04821996275568381,0.03603177625918761,-54
0.03687101743416861,0.018224547815043478,-60
0.01778024361701682,0.0018048189696855844,-56
7.696935208514332e-05,-0.02280628978041932,-54
-0.029668321076314896,-0.05206098592607304,-30
-0.06257618474774063,-0.07591426218859851,-30
-0.08568895356729626,-0.08991777002811432,-30
-0.09848296698182821,-0.08617371013388038,-54
-0.08911105459555983,-0.0731660227291286,-54
-0.06899450002238154,-0.05830819336697459,-30
-0.052828441839665174,-0.060378812905400994,-28
-0.05736741861328483,-0.06988704251125455,-30
-0.061198427621275184,-0.07645064070820809,-58
